"","interval","steps","date","average_steps"
"1",0,1.71698113207547,"2012-10-01",1.71698113207547
"2",0,0,"2012-11-23",1.71698113207547
"3",0,0,"2012-10-28",1.71698113207547
"4",0,0,"2012-11-06",1.71698113207547
"5",0,0,"2012-11-24",1.71698113207547
"6",0,0,"2012-11-15",1.71698113207547
"7",0,0,"2012-10-20",1.71698113207547
"8",0,0,"2012-11-16",1.71698113207547
"9",0,0,"2012-11-07",1.71698113207547
"10",0,0,"2012-11-25",1.71698113207547
"11",0,1.71698113207547,"2012-11-04",1.71698113207547
"12",0,0,"2012-11-08",1.71698113207547
"13",0,0,"2012-10-12",1.71698113207547
"14",0,0,"2012-10-30",1.71698113207547
"15",0,0,"2012-11-26",1.71698113207547
"16",0,47,"2012-10-04",1.71698113207547
"17",0,0,"2012-11-27",1.71698113207547
"18",0,0,"2012-10-31",1.71698113207547
"19",0,0,"2012-11-18",1.71698113207547
"20",0,0,"2012-10-05",1.71698113207547
"21",0,0,"2012-10-14",1.71698113207547
"22",0,0,"2012-10-23",1.71698113207547
"23",0,0,"2012-11-19",1.71698113207547
"24",0,0,"2012-10-11",1.71698113207547
"25",0,0,"2012-10-15",1.71698113207547
"26",0,0,"2012-10-06",1.71698113207547
"27",0,0,"2012-11-11",1.71698113207547
"28",0,0,"2012-11-29",1.71698113207547
"29",0,0,"2012-11-02",1.71698113207547
"30",0,0,"2012-10-07",1.71698113207547
"31",0,0,"2012-11-03",1.71698113207547
"32",0,1.71698113207547,"2012-11-30",1.71698113207547
"33",0,0,"2012-11-21",1.71698113207547
"34",0,0,"2012-10-02",1.71698113207547
"35",0,0,"2012-10-26",1.71698113207547
"36",0,0,"2012-11-22",1.71698113207547
"37",0,0,"2012-11-28",1.71698113207547
"38",0,0,"2012-11-13",1.71698113207547
"39",0,0,"2012-10-18",1.71698113207547
"40",0,0,"2012-10-27",1.71698113207547
"41",0,1.71698113207547,"2012-11-14",1.71698113207547
"42",0,10,"2012-10-22",1.71698113207547
"43",0,34,"2012-10-10",1.71698113207547
"44",0,0,"2012-10-19",1.71698113207547
"45",0,1.71698113207547,"2012-11-09",1.71698113207547
"46",0,0,"2012-10-17",1.71698113207547
"47",0,0,"2012-10-16",1.71698113207547
"48",0,0,"2012-10-29",1.71698113207547
